nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
=== Treinando com mask_08_exec50p (9/18 blocos ativos) ===
[mask_08_exec50p] epoch 1/20 | train_loss 0.4838 acc 84.67 | val_loss 0.4090 acc 85.98 | 8.0s
[mask_08_exec50p] epoch 2/20 | train_loss 0.3075 acc 89.70 | val_loss 0.3752 acc 87.52 | 7.8s
[mask_08_exec50p] epoch 3/20 | train_loss 0.2599 acc 91.15 | val_loss 0.3747 acc 87.33 | 7.6s
[mask_08_exec50p] epoch 4/20 | train_loss 0.2339 acc 91.99 | val_loss 0.3594 acc 88.15 | 7.0s
[mask_08_exec50p] epoch 5/20 | train_loss 0.2114 acc 92.82 | val_loss 0.3452 acc 88.49 | 7.9s
[mask_08_exec50p] epoch 6/20 | train_loss 0.1984 acc 93.18 | val_loss 0.3425 acc 88.94 | 7.0s
[mask_08_exec50p] epoch 7/20 | train_loss 0.1891 acc 93.51 | val_loss 0.3426 acc 88.85 | 7.9s
[mask_08_exec50p] epoch 8/20 | train_loss 0.1714 acc 94.25 | val_loss 0.3427 acc 88.95 | 7.7s
[mask_08_exec50p] epoch 9/20 | train_loss 0.1648 acc 94.32 | val_loss 0.3499 acc 88.93 | 7.8s
[mask_08_exec50p] epoch 10/20 | train_loss 0.1576 acc 94.46 | val_loss 0.3456 acc 89.34 | 8.0s
[mask_08_exec50p] epoch 11/20 | train_loss 0.1536 acc 94.63 | val_loss 0.3432 acc 89.91 | 7.8s
[mask_08_exec50p] epoch 12/20 | train_loss 0.1473 acc 94.99 | val_loss 0.3249 acc 90.03 | 7.9s
[mask_08_exec50p] epoch 13/20 | train_loss 0.1443 acc 94.99 | val_loss 0.3401 acc 89.93 | 6.9s
[mask_08_exec50p] epoch 14/20 | train_loss 0.1380 acc 95.26 | val_loss 0.3356 acc 90.10 | 7.6s
[mask_08_exec50p] epoch 15/20 | train_loss 0.1333 acc 95.38 | val_loss 0.3368 acc 89.79 | 8.2s
[mask_08_exec50p] epoch 16/20 | train_loss 0.1242 acc 95.69 | val_loss 0.3277 acc 90.32 | 7.9s
[mask_08_exec50p] epoch 17/20 | train_loss 0.1251 acc 95.63 | val_loss 0.3435 acc 90.06 | 8.0s
[mask_08_exec50p] epoch 18/20 | train_loss 0.1223 acc 95.74 | val_loss 0.3554 acc 89.88 | 8.0s
[mask_08_exec50p] epoch 19/20 | train_loss 0.1190 acc 95.80 | val_loss 0.3591 acc 89.97 | 7.2s
[mask_08_exec50p] epoch 20/20 | train_loss 0.1173 acc 95.79 | val_loss 0.3641 acc 89.95 | 7.5s
